Date,Region,Season,Weather_Condition,Area,Area size (km^2),Transect,Personel/Observers,Recorder,Start time,GPS Start E,GPS Start N,GPS End E,GPS End N,End time,Time Frame,Transect length,Time,ALT,GPSE,GPSN,Species,sighting distance,Sighting angle,Transect bearing,Adjusted angles,Perpendicular distance,AbsoluteDistance,Group size,Adult male,Adult females,Juveniles,chicks,Habitat,Activity,Habitat type
12/11/2014,MEIBEI,Nov-Wet,Wet,BAR,,BAR/030d,PETER,SIMON,12:40PM,47533,3708182,47965,3706071,2:03PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
12/11/2014,MEIBEI,Nov-Wet,Wet,BAR,,BAR/034d,PETER,SIMON,10:13AM,51767,3704594,51480,3702454,11:20AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
13/11/2014,MEIBEI,Nov-Wet,Wet,BAR,,BAR/035d,PETER,SIMON,11:20AM,53194,3703570,55238,3702886,11:44AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
6/1/2015,MEIBEI,Dec-Wet,Wet,NK,,NK/010e,SIMON,TEDDY,10:12AM,57815,3710745,58196,3712865,10:55AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
6/1/2015,MEIBEI,Dec-Wet,Wet,NK,,NK/011e,SIMON,TEDDY,11:09AM,59232,3709191,59382,3711341,11:39AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
6/1/2015,MEIBEI,Dec-Wet,Wet,NK,,NK/012e,PETER,SIMON,1:11PM,100942,3709036,100805,3711189,1:51PM,,4,1:31PM,1258,3710314,100845,OS,84,241,90,151,16.98,16.98,6,2,4,,,3,H,Partially protected
6/1/2015,MEIBEI,Dec-Wet,Wet,NK,,NK/014e,SIMON,PETER,10:22AM,59941,3708671,59748,3706523,11:21AM,,4,10:59AM,1282,3708634,59928,OS,56,201,167,34,29.63,29.63,1,,1,,,3,H,Partially protected
7/1/2015,MEIBEI,Dec-Wet,Wet,NK,,NK/015e,PETER,SIMON,10:11AM,58415,3709939,58119,3707805,11:03AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
7/1/2015,MEIBEI,Dec-Wet,Wet,NK,,NK/016e,PETER,SIMON,8:56AM,56963,3711409,56885,3709254,9:35AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
7/1/2015,MEIBEI,Dec-Wet,Wet,NK,,NK/017e,PETER,SIMON,8:55AM,102799,3713561,100964,3714696,9:50AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
7/1/2015,MEIBEI,Dec-Wet,Wet,NK,,NK/019e,SIMON,PETER,10:36AM,100725,3713172,58919,3714348,11:25AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
7/1/2015,MEIBEI,Dec-Wet,Wet,NK,,NK/020e,SIMON,PETER,12:46PM,58812,3713381,57116,3714717,1:11PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
9/1/2015,MEIBEI,Dec-Wet,Wet,NK,,NK/021e,SIMON,TEDDY,11:50AM,59898,3713120,59642,3710979,12:36PM,,4,11:29AM,1228,3710979,59641,OS,126,262,253,9,51.93,51.93,6,,,,,3,H,Partially protected
9/1/2015,MEIBEI,Dec-Wet,Wet,NK,,NK/022e,PETER,SIMON,12:09PM,101881,3713182,101384,3711085,12:51PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
11/1/2015,MEIBEI,Dec-Wet,Wet,BAR,,BAR/023e,PETER,SIMON,11:28AM,54092,3706365,51930,3706429,12:23pm,,4,,,,,,,,,,,,,,,,,,,Partially protected
11/1/2015,MEIBEI,Dec-Wet,Wet,BAR,,BAR/024e,PETER,SIMON,9:16AM,53332,3704216,51182,3704082,10:01AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
11/1/2015,MEIBEI,Dec-Wet,Wet,BAR,,BAR/025e,SIMON,PETER,10:17AM,52269,3704297,52635,3702173,11:11AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
11/1/2015,MEIBEI,Dec-Wet,Wet,BAR,,BAR/026e,SIMON,PETER,9:33AM,50403,3704908,50449,3707065,10:03AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
11/1/2015,MEIBEI,Dec-Wet,Wet,BAR,,BAR/027e,SIMON,PETER,1:44PM,49449,3705973,49473,3708130,2:13PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
12/1/2015,MEIBEI,Dec-Wet,Wet,BAR,,BAR/028e,PETER,SIMON,10:21AM,48555,3707683,48993,3709793,10:50AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
12/1/2015,MEIBEI,Dec-Wet,Wet,BAR,,BAR/029e,SIMON,PETER,11:20AM,46936,3708665,47697,3710678,11:55AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
13/1/2013,MEIBEI,Dec-Wet,Wet,BAR,,BAR/030e,PETER,SIMON,12:40PM,47533,3708182,47965,3706071,2:03PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
13/1/2015,MEIBEI,Dec-Wet,Wet,BAR,,BAR/034e,PETER,SIMON,10:13AM,51767,3704594,51480,3702454,11:20AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
