Region,Season,Group size,Adult male,Adult females,Juveniles,chicks,Habitat,Activity,Weather_Condition
MEIBEI,Feb-Dry,,,,,,,,Dry
MEIBEI,Feb-Dry,,,,,,,,Dry
MEIBEI,Feb-Dry,,,,,e,,,Dry
MEIBEI,Feb-Dry,,,,,,,,Dry
WESTGATE,Feb-Dry,,,,,,,,Dry
WESTGATE,Feb-Dry,,,,,,,,Dry
WESTGATE,Feb-Dry,7,2,5,,,3,H,Dry
WESTGATE,Feb-Dry,,,,,,,,Dry
WESTGATE,Feb-Dry,,,,,,,,Dry
WESTGATE,Feb-Dry,4,3,1,,,3,H,Dry
WESTGATE,Feb-Dry,,,,,,,,Dry
WESTGATE,Feb-Dry,,,,,,,,Dry
MEIBEI,Feb-Dry,,,,,,,,Dry
MEIBEI,Feb-Dry,,,,,,,,Dry
MEIBEI,Feb-Dry,,,,,,,,Dry
MEIBEI,Feb-Dry,,,,,,,,Dry
MEIBEI,Feb-Dry,,,,,,,,Dry
MEIBEI,Feb-Dry,,,,,,,,Dry
MEIBEI,Feb-Dry,,,,,,,,Dry
MEIBEI,Feb-Dry,,,,,,,,Dry
MEIBEI,Feb-Dry,,,,,,,,Dry
MEIBEI,Feb-Dry,,,,,,,,Dry
SNR,Feb-Dry,,,,,,,,Dry
SNR,Feb-Dry,,,,,,,,Dry
SNR,Feb-Dry,,,,,,,,Dry
SNR,Feb-Dry,,,,,,,,Dry
SNR,Feb-Dry,,,,,,,,Dry
SNR,Feb-Dry,,,,,,,,Dry
SNR,Feb-Dry,,,,,,,,Dry
SNR,Feb-Dry,,,,,,,,Dry
SNR,Feb-Dry,,,,,,,,Dry
SNR,Feb-Dry,,,,,,,,Dry
SNR,Feb-Dry,,,,,,,,Dry
MEIBEI,April-Wet,,,,,,,,Wet
MEIBEI,April-Wet,,,,,,,,Wet
MEIBEI,April-Wet,,,,,,,,Wet
MEIBEI,April-Wet,,,,,,,,Wet
MEIBEI,April-Wet,,,,,,,,Wet
MEIBEI,April-Wet,,,,,,,,Wet
MEIBEI,April-Wet,,,,,,,,Wet
MEIBEI,April-Wet,,,,,,,,Wet
MEIBEI,April-Wet,,,,,,,,Wet
MEIBEI,April-Wet,,,,,,,,Wet
MEIBEI,April-Wet,12,4,8,,,3,H,Wet
MEIBEI,April-Wet,5,3,2,,,3,H,Wet
MEIBEI,April-Wet,9,2,7,,,3,H,Wet
MEIBEI,April-Wet,,,,,,,,Wet
MEIBEI,April-Wet,,,,,,,,Wet
MEIBEI,April-Wet,,,,,,,,Wet
MEIBEI,April-Wet,,,,,,,,Wet
MEIBEI,April-Wet,,,,,,,,Wet
MEIBEI,April-Wet,,,,,,,,Wet
MEIBEI,April-Wet,,,,,,,,Wet
MEIBEI,April-Wet,,,,,,,,Wet
MEIBEI,April-Wet,,,,,,,,Wet
WESTGATE,April-Wet,37,5,27,5,,2,H,Wet
WESTGATE,April-Wet,,,,,,,,Wet
WESTGATE,April-Wet,,,,,,,,Wet
WESTGATE,April-Wet,,,,,,,,Wet
WESTGATE,April-Wet,2,2,0,0,,3,H,Wet
WESTGATE,April-Wet,,,,,,,,Wet
WESTGATE,April-Wet,,,,,,,,Wet
WESTGATE,April-Wet,,,,,,,,Wet
SNR,April-Wet,,,,,,,,Wet
SNR,April-Wet,,,,,,,,Wet
SNR,April-Wet,6,4,2,,,1,PA,Wet
SNR,April-Wet,,,,,,,,Wet
SNR,April-Wet,,,,,,,,Wet
SNR,April-Wet,,,,,,,,Wet
SNR,April-Wet,,,,,,,,Wet
SNR,April-Wet,,,,,,,,Wet
SNR,April-Wet,4,1,3,0,,4,PA,Wet
SNR,April-Wet,,,,,,,,Wet
SNR,April-Wet,,,,,,,,Wet
MEIBEI,May-Wet,,,,,,,,Wet
MEIBEI,May-Wet,,,,,,,,Wet
MEIBEI,May-Wet,,,,,,,,Wet
MEIBEI,May-Wet,,,,,,,,Wet
MEIBEI,May-Wet,,,,,,,,Wet
MEIBEI,May-Wet,,,,,,,,Wet
MEIBEI,May-Wet,,,,,,,,Wet
MEIBEI,May-Wet,12,3,9,,,3,H,Wet
MEIBEI,May-Wet,,,,,,,,Wet
MEIBEI,May-Wet,,,,,,,,Wet
MEIBEI,May-Wet,,,,,,,,Wet
MEIBEI,May-Wet,,,,,,,,Wet
MEIBEI,May-Wet,,,,,,,,Wet
MEIBEI,May-Wet,,,,,,,,Wet
MEIBEI,May-Wet,,,,,,,,Wet
MEIBEI,May-Wet,,,,,,,,Wet
MEIBEI,May-Wet,,,,,,,,Wet
MEIBEI,May-Wet,,,,,,,,Wet
MEIBEI,May-Wet,7,2,5,,,3,H,Wet
MEIBEI,May-Wet,,,,,,,,Wet
WESTGATE,May-Wet,,,,,,,,Wet
WESTGATE,May-Wet,,,,,,,,Wet
WESTGATE,May-Wet,,,,,,,,Wet
WESTGATE,May-Wet,32,3,25,4,,,,Wet
WESTGATE,May-Wet,,,,,,,,Wet
WESTGATE,May-Wet,,,,,,,,Wet
WESTGATE,May-Wet,,,,,,,,Wet
WESTGATE,May-Wet,2,1,1,,,3,H,Wet
SNR,May-Wet,,,,,,,,Wet
SNR,May-Wet,5,4,1,,,3,PA,Wet
SNR,May-Wet,,,,,,,,Wet
SNR,May-Wet,3,,3,,,1,PA,Wet
SNR,May-Wet,,,,,,,,Wet
SNR,May-Wet,,,,,,,,Wet
SNR,May-Wet,,,,,,,,Wet
SNR,May-Wet,,,,,,,,Wet
SNR,May-Wet,,,,,,,,Wet
SNR,May-Wet,,,,,,,,Wet
SNR,May-Wet,,,,,,,,Wet
